palabra,sentimiento,word
ábaco,confianza,abacus
abandonar,miedo,abandon
abandonar,negativo,abandon
abandonar,tristeza,abandon
abandonado,enfado,abandoned
abandonado,miedo,abandoned
abandonado,negativo,abandoned
abandonado,tristeza,abandoned
abandono,enfado,abandonment
abandono,miedo,abandonment
abandono,negativo,abandonment
abandono,tristeza,abandonment
abandono,sorpresa,abandonment
abba,positivo,abba
abad,confianza,abbot
secuestro,miedo,abduction
secuestro,negativo,abduction
secuestro,tristeza,abduction
secuestro,sorpresa,abduction
aberrante,negativo,aberrant
aberración,asco,aberration
aberración,negativo,aberration
aborrecer,enfado,abhor
aborrecer,asco,abhor
aborrecer,miedo,abhor
aborrecer,negativo,abhor
aborrecible,enfado,abhorrent
aborrecible,asco,abhorrent
aborrecible,miedo,abhorrent
aborrecible,negativo,abhorrent
capacidad,positivo,ability
abyecto,asco,abject
abyecto,negativo,abject
anormal,asco,abnormal
anormal,negativo,abnormal
abolir,enfado,abolish
abolir,negativo,abolish
abolición,negativo,abolition
abominable,asco,abominable
abominable,miedo,abominable
abominable,negativo,abominable
abominación,enfado,abomination
abominación,asco,abomination
abominación,miedo,abomination
abominación,negativo,abomination
abortar,negativo,abort
aborto,asco,abortion
aborto,miedo,abortion
aborto,negativo,abortion
aborto,tristeza,abortion
abortivo,negativo,abortive
abortivo,tristeza,abortive
anteriormente mencionado,positivo,abovementioned
abrasión,negativo,abrasion
abrogar,negativo,abrogate
abrupto,sorpresa,abrupt
absceso,negativo,abscess
absceso,tristeza,abscess
ausencia,miedo,absence
ausencia,negativo,absence
ausencia,tristeza,absence
ausente,negativo,absent
ausente,tristeza,absent
ausente,negativo,absentee
ausente,tristeza,absentee
absentismo,negativo,absenteeism
absoluto,positivo,absolute
absolución,alegría,absolution
absolución,positivo,absolution
absolución,confianza,absolution
absorbido,positivo,absorbed
absurdo,negativo,absurd
absurdo,negativo,absurdity
abundancia,anticipación,abundance
abundancia,asco,abundance
abundancia,alegría,abundance
abundancia,negativo,abundance
abundancia,positivo,abundance
abundancia,confianza,abundance
abundante,alegría,abundant
abundante,positivo,abundant
abuso,enfado,abuse
abuso,asco,abuse
abuso,miedo,abuse
abuso,negativo,abuse
abuso,tristeza,abuse
abismal,negativo,abysmal
